Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-18;Jeudi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;268
2017-05-18;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;129
2017-05-18;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;746
2017-05-18;Jeudi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;68
2017-05-18;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;47
2017-05-18;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;80
2017-05-18;Jeudi;Soir;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;496
2017-05-18;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;192
2017-05-18;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;48
2017-05-18;Jeudi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;406
2017-05-18;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1256
2017-05-18;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;42
2017-05-18;Jeudi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;118
2017-05-18;Jeudi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8467
2017-05-18;Jeudi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;109
2017-05-18;Jeudi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2970
2017-05-18;Jeudi;Soir;Vosges;Zone FIMU;Resident;Periode normale;#
2017-05-18;Jeudi;Soir;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-19;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2061
2017-05-19;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;434
2017-05-19;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;27
2017-05-19;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;27
2017-05-19;Vendredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;178
2017-05-19;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;103
2017-05-19;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;651
2017-05-19;Vendredi;Soir;Haut Rhin Nord;Zone FIMU;Resident;Periode normale;#
2017-05-19;Vendredi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;46
2017-05-19;Vendredi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;28
2017-05-19;Vendredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;280
2017-05-19;Vendredi;Soir;Reste Doubs;Zone FIMU;Resident;Periode normale;#
2017-05-19;Vendredi;Soir;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;336
2017-05-19;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;144
2017-05-19;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;43
2017-05-19;Vendredi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;351
2017-05-19;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1180
2017-05-19;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;308
2017-05-19;Vendredi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8096
2017-05-19;Vendredi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;92
2017-05-19;Vendredi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2739
2017-05-19;Vendredi;Soir;Vosges;Zone FIMU;Resident;Periode normale;#
2017-05-19;Vendredi;Soir;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;28
2017-05-20;Samedi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1676
2017-05-20;Samedi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;428
2017-05-20;Samedi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;51
2017-05-20;Samedi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;89
2017-05-20;Samedi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;#
2017-05-20;Samedi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;411
2017-05-20;Samedi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;25
2017-05-20;Samedi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-20;Samedi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;229
2017-05-20;Samedi;Soir;Reste Doubs;Zone FIMU;Resident;Periode normale;32
2017-05-20;Samedi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;351
2017-05-20;Samedi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;232
