Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-15;Lundi;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Visiteur;Periode normale;159
2017-05-15;Lundi;Zone FIMU;Populaire;urbain defavorise;Resident;Excursionniste;Periode normale;87
2017-05-15;Lundi;Zone FIMU;Populaire;urbain defavorise;Resident;Visiteur;Periode normale;1423
2017-05-15;Lundi;Zone FIMU;Populaire;urbain defavorise;Touriste Français;Visiteur;Periode normale;137
2017-05-16;Mardi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Excursionniste;Periode normale;190
2017-05-16;Mardi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Visiteur;Periode normale;1681
2017-05-16;Mardi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Excursionniste;Periode normale;78
2017-05-16;Mardi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Visiteur;Periode normale;784
2017-05-16;Mardi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;Visiteur;Periode normale;38
2017-05-16;Mardi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Excursionniste;Periode normale;427
2017-05-16;Mardi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Visiteur;Periode normale;4006
2017-05-16;Mardi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Excursionniste;Periode normale;129
2017-05-16;Mardi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Visiteur;Periode normale;489
2017-05-16;Mardi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Excursionniste;Periode normale;128
2017-05-16;Mardi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Visiteur;Periode normale;1355
2017-05-16;Mardi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Excursionniste;Periode normale;47
2017-05-16;Mardi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Visiteur;Periode normale;765
2017-05-16;Mardi;Zone FIMU;CSP+;rural dynamique;Resident;Excursionniste;Periode normale;83
2017-05-16;Mardi;Zone FIMU;CSP+;rural dynamique;Resident;Visiteur;Periode normale;602
2017-05-16;Mardi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Excursionniste;Periode normale;59
2017-05-16;Mardi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Visiteur;Periode normale;545
2017-05-16;Mardi;Zone FIMU;CSP+;urbain dynamique;Resident;Excursionniste;Periode normale;395
2017-05-16;Mardi;Zone FIMU;CSP+;urbain dynamique;Resident;Visiteur;Periode normale;3095
2017-05-16;Mardi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;Excursionniste;Periode normale;65
