Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-06-02;Vendredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;145
2017-06-02;Vendredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;1461
2017-06-03;Samedi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;698
2017-06-03;Samedi;Zone FIMU;F;Resident;Visiteur;Periode evenement;7502
2017-06-03;Samedi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;409
2017-06-03;Samedi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;4073
2017-06-03;Samedi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;694
2017-06-03;Samedi;Zone FIMU;H;Resident;Visiteur;Periode evenement;7575
2017-06-03;Samedi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;322
2017-06-03;Samedi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;4391
2017-06-03;Samedi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;147
2017-06-03;Samedi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;390
2017-06-03;Samedi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;83
2017-06-03;Samedi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;2072
2017-06-04;Dimanche;Zone FIMU;F;Resident;Excursionniste;Periode evenement;786
2017-06-04;Dimanche;Zone FIMU;F;Resident;Visiteur;Periode evenement;9504
2017-06-04;Dimanche;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;706
2017-06-04;Dimanche;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;6991
2017-06-04;Dimanche;Zone FIMU;H;Resident;Excursionniste;Periode evenement;1050
2017-06-04;Dimanche;Zone FIMU;H;Resident;Visiteur;Periode evenement;9869
2017-06-04;Dimanche;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;775
2017-06-04;Dimanche;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;8045
2017-06-04;Dimanche;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;112
2017-06-04;Dimanche;Zone FIMU;NR;Resident;Visiteur;Periode evenement;354
2017-06-04;Dimanche;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;147
2017-06-04;Dimanche;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;2545
2017-06-05;Lundi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;653
2017-06-05;Lundi;Zone FIMU;F;Resident;Visiteur;Periode evenement;7414
2017-06-05;Lundi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;576
2017-06-05;Lundi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;3751
2017-06-05;Lundi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;750
2017-06-05;Lundi;Zone FIMU;H;Resident;Visiteur;Periode evenement;7398
2017-06-05;Lundi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;439
2017-06-05;Lundi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;3924
2017-06-05;Lundi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;66
2017-06-05;Lundi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;296
2017-06-05;Lundi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;57
2017-06-05;Lundi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;1968
2017-06-06;Mardi;Zone FIMU;F;Resident;Excursionniste;Periode normale;848
