Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-05-11;Mercredi;F;Excursionniste;Journee;Touriste Français;All-FIMU;280
2016-05-11;Mercredi;H;Visiteur;Journee;Résident ;All-FIMU;6437
2016-05-11;Mercredi;H;Visiteur;Journee;Touriste Français;All-FIMU;1978
2016-05-11;Mercredi;H;Excursionniste;Journee;Résident ;All-FIMU;1052
2016-05-11;Mercredi;H;Excursionniste;Journee;Touriste Français;All-FIMU;287
2016-05-11;Mercredi;NR;Visiteur;Journee;Résident ;All-FIMU;300
2016-05-11;Mercredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;107
2016-05-11;Mercredi;NR;Excursionniste;Journee;Résident ;All-FIMU;80
2016-05-11;Mercredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-05-12;Jeudi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13651
2016-05-12;Jeudi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;4067
2016-05-12;Jeudi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2318
2016-05-12;Jeudi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;738
2016-05-12;Jeudi;F;Visiteur;Journee;Résident ;All-FIMU;6896
2016-05-12;Jeudi;F;Visiteur;Journee;Touriste Français;All-FIMU;1872
