Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-26;Mardi;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;3213
2016-04-26;Mardi;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;118
2016-04-26;Mardi;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;591
2016-04-26;Mardi;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;40
2016-04-26;Mardi;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;76
2016-04-26;Mardi;urbain familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-27;Mercredi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13092
2016-04-27;Mercredi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3398
2016-04-27;Mercredi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2206
2016-04-27;Mercredi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;605
2016-04-27;Mercredi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;355
2016-04-27;Mercredi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;27
2016-04-27;Mercredi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-27;Mercredi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;1174
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;523
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;108
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;98
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;1440
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;481
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;256
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;78
2016-04-27;Mercredi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;1312
2016-04-27;Mercredi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;258
2016-04-27;Mercredi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;167
2016-04-27;Mercredi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;39
2016-04-27;Mercredi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;#
