Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-29;Vendredi;Visiteur;1J;Touriste Français;All-FIMU;3933
2016-04-29;Vendredi;Visiteur;1J;Touriste Etranger;All-FIMU;993
2016-04-29;Vendredi;Visiteur;2J;Résident ;All-FIMU;20269
2016-04-29;Vendredi;Visiteur;2J;Touriste Français;All-FIMU;6193
2016-04-29;Vendredi;Visiteur;2J;Touriste Etranger;All-FIMU;1554
2016-04-29;Vendredi;Visiteur;3J;Résident ;All-FIMU;24078
2016-04-29;Vendredi;Visiteur;3J;Touriste Français;All-FIMU;7767
2016-04-29;Vendredi;Visiteur;3J;Touriste Etranger;All-FIMU;2203
2016-04-29;Vendredi;Visiteur;4J;Résident ;All-FIMU;26977
2016-04-29;Vendredi;Visiteur;4J;Touriste Français;All-FIMU;8926
2016-04-29;Vendredi;Visiteur;4J;Touriste Etranger;All-FIMU;2606
2016-04-29;Vendredi;Visiteur;5J;Résident ;All-FIMU;29163
2016-04-29;Vendredi;Visiteur;5J;Touriste Français;All-FIMU;9977
2016-04-29;Vendredi;Visiteur;5J;Touriste Etranger;All-FIMU;3031
2016-04-29;Vendredi;Visiteur;6J;Résident ;All-FIMU;30330
2016-04-29;Vendredi;Visiteur;6J;Touriste Français;All-FIMU;10920
2016-04-29;Vendredi;Visiteur;6J;Touriste Etranger;All-FIMU;3372
2016-04-29;Vendredi;Visiteur;7J;Résident ;All-FIMU;32368
2016-04-29;Vendredi;Visiteur;7J;Touriste Français;All-FIMU;12483
2016-04-29;Vendredi;Visiteur;7J;Touriste Etranger;All-FIMU;3855
2016-04-29;Vendredi;Visiteur;8J;Résident ;All-FIMU;35089
2016-04-29;Vendredi;Visiteur;8J;Touriste Français;All-FIMU;14133
2016-04-29;Vendredi;Visiteur;8J;Touriste Etranger;All-FIMU;4195
2016-04-29;Vendredi;Visiteur;9J;Résident ;All-FIMU;37087
2016-04-29;Vendredi;Visiteur;9J;Touriste Français;All-FIMU;15514
2016-04-29;Vendredi;Visiteur;9J;Touriste Etranger;All-FIMU;4558
2016-04-29;Vendredi;Visiteur;10J;Résident ;All-FIMU;37087
2016-04-29;Vendredi;Visiteur;10J;Touriste Français;All-FIMU;15514
2016-04-29;Vendredi;Visiteur;10J;Touriste Etranger;All-FIMU;4558
2016-04-29;Vendredi;Visiteur;11J;Résident ;All-FIMU;37087
2016-04-29;Vendredi;Visiteur;11J;Touriste Français;All-FIMU;15514
2016-04-29;Vendredi;Visiteur;11J;Touriste Etranger;All-FIMU;4558
2016-04-29;Vendredi;Visiteur;12J;Résident ;All-FIMU;37087
2016-04-29;Vendredi;Visiteur;12J;Touriste Français;All-FIMU;15514
2016-04-29;Vendredi;Visiteur;12J;Touriste Etranger;All-FIMU;4558
2016-04-29;Vendredi;Visiteur;13J;Résident ;All-FIMU;37087
2016-04-29;Vendredi;Visiteur;13J;Touriste Français;All-FIMU;15514
2016-04-29;Vendredi;Visiteur;13J;Touriste Etranger;All-FIMU;4558
2016-04-29;Vendredi;Visiteur;14J;Résident ;All-FIMU;37087
2016-04-29;Vendredi;Visiteur;14J;Touriste Français;All-FIMU;15514
2016-04-29;Vendredi;Visiteur;14J;Touriste Etranger;All-FIMU;4558
2016-04-30;Samedi;Visiteur;1J;Résident ;All-FIMU;11131
2016-04-30;Samedi;Visiteur;1J;Touriste Français;All-FIMU;3476
2016-04-30;Samedi;Visiteur;1J;Touriste Etranger;All-FIMU;1120
2016-04-30;Samedi;Visiteur;2J;Résident ;All-FIMU;19124
2016-04-30;Samedi;Visiteur;2J;Touriste Français;All-FIMU;6307
2016-04-30;Samedi;Visiteur;2J;Touriste Etranger;All-FIMU;1835
2016-04-30;Samedi;Visiteur;3J;Résident ;All-FIMU;23719
