Date;JourDeLaSemaine;DureeVisite;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-29;Vendredi;Duree5h;Touriste Etranger;All-FIMU;58
2016-04-29;Vendredi;Duree6h;Résident ;All-FIMU;1533
2016-04-29;Vendredi;Duree6h;Touriste Français;All-FIMU;329
2016-04-29;Vendredi;Duree6h;Touriste Etranger;All-FIMU;62
2016-04-29;Vendredi;Duree7h;Résident ;All-FIMU;989
2016-04-29;Vendredi;Duree7h;Touriste Français;All-FIMU;219
2016-04-29;Vendredi;Duree7h;Touriste Etranger;All-FIMU;42
2016-04-29;Vendredi;Duree8h;Résident ;All-FIMU;613
2016-04-29;Vendredi;Duree8h;Touriste Français;All-FIMU;124
2016-04-29;Vendredi;Duree8h;Touriste Etranger;All-FIMU;35
2016-04-29;Vendredi;Duree9h;Résident ;All-FIMU;623
2016-04-29;Vendredi;Duree9h;Touriste Français;All-FIMU;158
2016-04-29;Vendredi;Duree9h;Touriste Etranger;All-FIMU;28
2016-04-29;Vendredi;Duree10h;Résident ;All-FIMU;336
2016-04-29;Vendredi;Duree10h;Touriste Français;All-FIMU;46
2016-04-29;Vendredi;Duree10h;Touriste Etranger;All-FIMU;21
2016-04-29;Vendredi;Duree10h-18h;Résident ;All-FIMU;1810
2016-04-29;Vendredi;Duree10h-18h;Touriste Français;All-FIMU;289
2016-04-29;Vendredi;Duree10h-18h;Touriste Etranger;All-FIMU;73
2016-04-30;Samedi;Duree1h;Résident ;All-FIMU;3644
2016-04-30;Samedi;Duree1h;Touriste Français;All-FIMU;1671
2016-04-30;Samedi;Duree1h;Touriste Etranger;All-FIMU;346
2016-04-30;Samedi;Duree2h;Résident ;All-FIMU;2020
2016-04-30;Samedi;Duree2h;Touriste Français;All-FIMU;846
2016-04-30;Samedi;Duree2h;Touriste Etranger;All-FIMU;217
2016-04-30;Samedi;Duree3h;Résident ;All-FIMU;2168
2016-04-30;Samedi;Duree3h;Touriste Français;All-FIMU;852
2016-04-30;Samedi;Duree3h;Touriste Etranger;All-FIMU;190
2016-04-30;Samedi;Duree4h;Résident ;All-FIMU;1525
2016-04-30;Samedi;Duree4h;Touriste Français;All-FIMU;585
2016-04-30;Samedi;Duree4h;Touriste Etranger;All-FIMU;261
2016-04-30;Samedi;Duree5h;Résident ;All-FIMU;713
2016-04-30;Samedi;Duree5h;Touriste Français;All-FIMU;204
2016-04-30;Samedi;Duree5h;Touriste Etranger;All-FIMU;61
2016-04-30;Samedi;Duree6h;Résident ;All-FIMU;782
2016-04-30;Samedi;Duree6h;Touriste Français;All-FIMU;255
2016-04-30;Samedi;Duree6h;Touriste Etranger;All-FIMU;92
2016-04-30;Samedi;Duree7h;Résident ;All-FIMU;614
2016-04-30;Samedi;Duree7h;Touriste Français;All-FIMU;77
2016-04-30;Samedi;Duree7h;Touriste Etranger;All-FIMU;63
2016-04-30;Samedi;Duree8h;Résident ;All-FIMU;465
2016-04-30;Samedi;Duree8h;Touriste Français;All-FIMU;85
2016-04-30;Samedi;Duree8h;Touriste Etranger;All-FIMU;29
2016-04-30;Samedi;Duree9h;Résident ;All-FIMU;515
2016-04-30;Samedi;Duree9h;Touriste Français;All-FIMU;69
2016-04-30;Samedi;Duree9h;Touriste Etranger;All-FIMU;37
2016-04-30;Samedi;Duree10h;Résident ;All-FIMU;396
2016-04-30;Samedi;Duree10h;Touriste Français;All-FIMU;116
2016-04-30;Samedi;Duree10h;Touriste Etranger;All-FIMU;32
2016-04-30;Samedi;Duree10h-18h;Résident ;All-FIMU;2060
2016-04-30;Samedi;Duree10h-18h;Touriste Français;All-FIMU;402
2016-04-30;Samedi;Duree10h-18h;Touriste Etranger;All-FIMU;118
2016-05-01;Dimanche;Duree1h;Résident ;All-FIMU;1973
2016-05-01;Dimanche;Duree1h;Touriste Français;All-FIMU;915
2016-05-01;Dimanche;Duree1h;Touriste Etranger;All-FIMU;288
2016-05-01;Dimanche;Duree2h;Résident ;All-FIMU;1140
2016-05-01;Dimanche;Duree2h;Touriste Français;All-FIMU;751
2016-05-01;Dimanche;Duree2h;Touriste Etranger;All-FIMU;174
2016-05-01;Dimanche;Duree3h;Résident ;All-FIMU;1398
2016-05-01;Dimanche;Duree3h;Touriste Français;All-FIMU;457
2016-05-01;Dimanche;Duree3h;Touriste Etranger;All-FIMU;128
2016-05-01;Dimanche;Duree4h;Résident ;All-FIMU;822
2016-05-01;Dimanche;Duree4h;Touriste Français;All-FIMU;378
2016-05-01;Dimanche;Duree4h;Touriste Etranger;All-FIMU;176
2016-05-01;Dimanche;Duree5h;Résident ;All-FIMU;475
2016-05-01;Dimanche;Duree5h;Touriste Français;All-FIMU;149
2016-05-01;Dimanche;Duree5h;Touriste Etranger;All-FIMU;21
2016-05-01;Dimanche;Duree6h;Résident ;All-FIMU;545
2016-05-01;Dimanche;Duree6h;Touriste Français;All-FIMU;139
2016-05-01;Dimanche;Duree6h;Touriste Etranger;All-FIMU;77
2016-05-01;Dimanche;Duree7h;Résident ;All-FIMU;416
2016-05-01;Dimanche;Duree7h;Touriste Français;All-FIMU;76
2016-05-01;Dimanche;Duree7h;Touriste Etranger;All-FIMU;#
2016-05-01;Dimanche;Duree8h;Résident ;All-FIMU;366
2016-05-01;Dimanche;Duree8h;Touriste Français;All-FIMU;64
2016-05-01;Dimanche;Duree8h;Touriste Etranger;All-FIMU;22
2016-05-01;Dimanche;Duree9h;Résident ;All-FIMU;485
2016-05-01;Dimanche;Duree9h;Touriste Français;All-FIMU;74
2016-05-01;Dimanche;Duree9h;Touriste Etranger;All-FIMU;#
2016-05-01;Dimanche;Duree10h;Résident ;All-FIMU;436
2016-05-01;Dimanche;Duree10h;Touriste Français;All-FIMU;54
2016-05-01;Dimanche;Duree10h;Touriste Etranger;All-FIMU;#
2016-05-01;Dimanche;Duree10h-18h;Résident ;All-FIMU;2121
2016-05-01;Dimanche;Duree10h-18h;Touriste Français;All-FIMU;351
2016-05-01;Dimanche;Duree10h-18h;Touriste Etranger;All-FIMU;98
2016-05-02;Lundi;Duree1h;Résident ;All-FIMU;3871
2016-05-02;Lundi;Duree1h;Touriste Français;All-FIMU;1311
2016-05-02;Lundi;Duree1h;Touriste Etranger;All-FIMU;234
2016-05-02;Lundi;Duree2h;Résident ;All-FIMU;2431
