Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-30;Samedi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;138
2016-04-30;Samedi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;137
2016-04-30;Samedi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-30;Samedi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-30;Samedi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;1089
2016-04-30;Samedi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;556
2016-04-30;Samedi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;118
2016-04-30;Samedi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;87
2016-04-30;Samedi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;1713
2016-04-30;Samedi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;534
2016-04-30;Samedi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;336
2016-04-30;Samedi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;72
2016-04-30;Samedi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;2218
2016-04-30;Samedi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;751
2016-04-30;Samedi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;356
2016-04-30;Samedi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;123
2016-04-30;Samedi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;1950
2016-04-30;Samedi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;679
2016-04-30;Samedi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;277
2016-04-30;Samedi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;160
2016-04-30;Samedi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2624
2016-04-30;Samedi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;491
2016-04-30;Samedi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;435
2016-04-30;Samedi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;109
2016-04-30;Samedi;NR;Visiteur;Journee;Résident ;All-FIMU;1396
2016-04-30;Samedi;NR;Visiteur;Journee;Touriste Français;All-FIMU;325
2016-04-30;Samedi;NR;Excursionniste;Journee;Résident ;All-FIMU;237
2016-04-30;Samedi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;43
2016-05-01;Dimanche;CUMUL;Visiteur;Journee;Résident ;All-FIMU;8146
2016-05-01;Dimanche;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2510
2016-05-01;Dimanche;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1076
2016-05-01;Dimanche;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;541
2016-05-01;Dimanche;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;128
2016-05-01;Dimanche;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;89
2016-05-01;Dimanche;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-05-01;Dimanche;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-05-01;Dimanche;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;753
2016-05-01;Dimanche;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;305
2016-05-01;Dimanche;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;99
